file,verdict,likely_front,failure_cat,max_ring,any_feature_a,flange_hough,total_marks,max_marks_hole,best_circ,top8_circs,n_holes,ok_corners,low_circ_corners,gate_miss_corners,hough_miss_corners,oof_corners
20260906_094928_CAM#000038_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,0,0,0,12,0
20260906_094928_CAM#000039_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,3,1,0.887,0.89|0.87|0.84|0.00|0.00|0.00|0.00|0.00,11,3,0,4,35,2
20260906_094929_CAM#000040_NG_NO_FEATURE.jpg,NG_HOLE_NOT_FOUND,NO,-,0,False,,0,0,0.0,,0,0,0,0,0,0
20260906_094930_CAM#000041_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,0,0,0,18,2
20260906_094930_CAM#000042_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,0,27,1
20260906_094933_CAM#000045_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,0,27,1
20260906_094934_CAM#000046_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,0,34,2
20260906_094934_CAM#000047_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,0,0,0,8,0
20260906_094934_CAM#000048_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,0,0,1,10,1
20260906_094951_CAM#000051_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.733,0.73|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,1,0,34,1
20260906_094952_CAM#000053_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,3,2,0.792,0.79|0.79|0.78|0.00|0.00|0.00|0.00|0.00,8,3,0,2,26,1
20260906_094953_CAM#000054_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,2,28,2
20260906_094954_CAM#000056_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,9,3,0.873,0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86,6,9,0,0,15,0
20260906_094954_CAM#000057_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,9,3,0.873,0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.84,7,9,1,3,14,1
20260906_094955_CAM#000058_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,0,31,1
20260906_094957_CAM#000061_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,4,2,0.877,0.88|0.88|0.82|0.81|0.75|0.72|0.72|0.00,8,4,3,2,22,1
20260906_095000_CAM#000062_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,0,27,1
20260906_095001_CAM#000063_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,7,2,0.879,0.88|0.87|0.83|0.81|0.80|0.80|0.76|0.00,8,7,0,6,18,1
20260906_095001_CAM#000064_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,10,2,0.873,0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86,8,10,0,0,21,1
20260906_095003_CAM#000067_NG_HOLE_NOT_FOUND.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,0,0,0,7,1
20260906_095004_CAM#000068_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,1,30,1
20260906_095004_CAM#000069_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,10,0,0,2,37,1
20260906_095006_CAM#000071_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.687,0.69|0.00|0.00|0.00|0.00|0.00|0.00|0.00,6,0,1,3,20,0
20260906_095007_CAM#000074_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,1,1,0.855,0.85|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,1,0,3,31,1
20260906_095008_CAM#000075_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,0,0,3,8,1
20260906_095010_CAM#000077_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,12,3,0.892,0.89|0.89|0.88|0.87|0.87|0.87|0.87|0.86,8,12,0,1,18,1
20260906_095010_CAM#000078_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,9,2,0.879,0.88|0.88|0.88|0.87|0.87|0.87|0.86|0.86,8,9,0,2,20,1
